"CASE","SERIAL","REF","QUESTNNR","MODE","LANGUAGE","STARTED","MED_TÖNE","DE01","DE02_01","DE03","DE04","ME02","ME01","ME03","ME04","ME05","ME05_01","ME05_02","ME05_03","ME05_04","ME05_07","ME05_08","ME05_05","ME05_05a","ME05_06","ME05_06a","ME05_09","ME06","ME06_01","ME06_02","ME06_03","ME06_04","ME06_05","ME06_05a","ME07","ME08","PT01","PT02_01","PT02_02","PT02_03","PT02_04","PT02_05","PT03_01","PT03_02","PT03_03","PT03_04","PT03_05","PT04_01","PT04_02","PT04_03","PT05_01","PT06_01","PT06_02","TIME001","TIME002","TIME003","TIME004","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME","BF"
166,NA,"e4wdgb","base","interview","deu","09.11.2017 16:37",45,1,19,1,NA,1,3,4,2,2,1,1,1,1,1,1,2,"Entspannungsreise",2,"Atemübung, Yoga",1,1,2,1,1,1,1,"",1,2,4,4,2,2,2,2,2,1,1,4,4,1,5,4,"welchen Einfluss Meditation auf die Psyche hat bzw. ob Meditation eine sinnvolle Alternative zum Entspannen ist und welche Töne / Klänge am besten für eine meidation geeignet sind",5,5,25,12,91,131,259,NA,"09.11.2017 16:41",1,0,4,4,0,0,"0.82",0,0.7619549516445644
167,NA,"y642ly","base","interview","deu","09.11.2017 17:09",43,1,20,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,4,4,1,1,3,3,1,2,1,4,2,4,3,"Auswirkung von Meditation",5,5,26,5,NA,130,161,NA,"09.11.2017 17:12",1,0,3,4,0,0,"1.18",14,0.6863608536764081
168,NA,"6kybj1","base","interview","deu","10.11.2017 14:35",49,1,20,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,5,4,1,1,2,1,1,1,1,4,1,4,5,"Was Meditation im Menschen hervorruft und Wirksamkeit ",4,4,19,14,NA,99,132,NA,"10.11.2017 14:37",1,0,3,4,0,0,"0.98",6,0.6757941379067353
169,NA,"jgdpok","base","interview","deu","10.11.2017 15:13",46,1,21,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,2,4,2,1,3,2,3,3,1,3,2,4,4,"ob es unterschiede gibt zwischen menschen mit erfahrung und denen ohne wie sehr man sich auf die meditation einlassen kann",4,4,14,11,NA,157,182,NA,"10.11.2017 15:16",1,0,3,4,0,0,"0.99",5,0.6389291367133942
170,NA,"a7k5na","base","interview","deu","10.11.2017 15:44",46,1,18,1,NA,1,1,4,3,1,1,1,1,1,1,1,1,"",1,"",2,1,2,1,1,1,1,"",1,1,3,4,3,1,1,1,3,2,1,1,2,2,5,4,"Die Auswirkung von Gewissen Tönen, Worten/Wortwiederholungen auf den Gemütszustand.",4,4,16,13,58,163,250,NA,"10.11.2017 15:49",1,0,4,4,0,0,"0.97",4,0.6052264359264801
171,NA,"nm9to4","base","interview","deu","13.11.2017 16:35",50,1,18,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,4,3,4,2,3,2,2,2,2,4,1,5,3,"Was bringt Meditation im Alltag",4,4,21,5,NA,127,153,NA,"13.11.2017 16:38",1,0,3,4,0,0,"1.24",14,0.6040275335912433
172,NA,"a41ejj","base","interview","deu","13.11.2017 17:07",56,1,21,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,3,3,1,1,2,3,2,1,1,2,2,4,3,"ob Meditation wirklich hilfreich ist",4,4,17,9,NA,111,137,NA,"13.11.2017 17:10",1,0,3,4,0,0,"1.09",5,0.6504600750214025
173,NA,"bxlp12","base","interview","deu","13.11.2017 17:43",43,1,21,2,3,1,1,4,2,1,1,2,1,1,1,1,1,"",1,"",1,2,2,2,1,1,1,"",1,1,3,4,2,1,1,3,2,3,1,4,4,4,3,4,"Meditatoion in Verbing mit Gefühle",5,5,12,13,74,97,196,NA,"13.11.2017 17:46",1,0,4,4,0,0,"1.13",11,0.5922573987415259
174,NA,"47r7u0","base","interview","deu","14.11.2017 10:48",53,1,20,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,4,4,2,1,2,3,3,1,1,2,2,4,4,"ob Meditation als Therapie genutzt werden kann (ich kann mir eigentlich nicht genau vorstellen was untersucht werden soll)",4,5,15,7,NA,126,148,NA,"14.11.2017 10:51",1,0,3,4,0,0,"1.18",9,0.6135567855095504
175,NA,"sjt7xg","base","interview","deu","14.11.2017 11:18",42,1,19,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1,2,2,1,1,4,2,2,1,1,3,5,3,1,"Entspannung bei Meditation möglich, Auswirkungen auf Umfeld positiv?",2,2,13,6,NA,72,91,NA,"14.11.2017 11:19",1,0,3,4,0,0,"1.58",29,0.554087123959307
176,NA,"943gee","base","interview","deu","14.11.2017 11:47",43,1,19,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,4,3,1,1,2,4,1,1,1,1,2,5,2,"emotionen bei Entspannung",4,4,12,8,NA,140,160,NA,"14.11.2017 11:50",1,0,3,4,0,0,"1.2",10,0.5099235253865383
177,NA,"ksg8oj","base","interview","deu","14.11.2017 12:39",52,1,23,1,NA,1,3,4,2,2,1,2,2,1,1,1,1,"",1,"",1,3,1,2,2,2,1,"",2,2,3,4,3,4,2,2,2,2,3,4,4,2,4,5,"",5,5,12,5,39,53,109,NA,"14.11.2017 12:40",1,0,4,4,4,3,"1.91",46,0.5203666723688508
178,NA,"yskzf2","base","interview","deu","14.11.2017 13:40",39,1,19,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,4,3,2,2,3,2,1,1,1,4,4,4,3,"Auswirkung von Mediationserfahrung auf die Wirkung dieser Mediation.",4,3,16,10,NA,121,147,NA,"14.11.2017 13:43",1,0,3,4,0,0,"1.05",4,0.4611782349687495
179,NA,"9yx3s","base","interview","deu","14.11.2017 14:13",47,1,21,1,NA,1,3,4,3,1,1,1,1,1,1,1,1,"",1,"",2,2,2,1,1,2,1,"",1,4,2,4,3,3,1,2,2,2,1,1,3,1,3,4,"Auswirkung von Meditation auf Stimmung",4,5,12,6,86,88,192,NA,"14.11.2017 14:16",1,0,4,4,0,0,"1.34",19,0.44637005703849747
180,NA,"3wf10h","base","interview","deu","14.11.2017 14:43",49,1,18,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,5,3,1,1,2,4,4,3,1,1,1,5,3,"Beeinflussung von Emotionen durch meditation",5,5,14,6,NA,104,124,NA,"14.11.2017 14:45",1,0,3,4,0,0,"1.36",18,0.4409220745627741
181,NA,"01j0fx","base","interview","deu","14.11.2017 15:16",48,1,27,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1,2,1,2,5,1,1,1,1,5,1,2,5,3,"Ob man unter katastrophalen Bedingungen (Ungemütlicher, hässlicher, dreckiger, sehr kalter und zugiger, unwirtlicher Kellerraum) trotzdem noch meditieren kann.",5,5,16,5,NA,162,183,NA,"14.11.2017 15:20",1,0,3,4,0,0,"1.25",15,0.43129274694251185
182,NA,"867as5","base","interview","deu","16.11.2017 16:37",43,1,19,1,NA,1,4,4,2,1,1,1,1,2,1,1,1,"",1,"",1,1,2,1,1,1,1,"",1,2,2,3,3,1,1,4,2,2,2,5,5,1,4,2,"Meditationswirkung",5,5,16,9,71,96,192,NA,"16.11.2017 16:41",1,0,4,4,0,0,"1.13",7,0.4027115517709443
183,NA,"4255ap","base","interview","deu","16.11.2017 17:11",49,1,20,1,NA,1,1,3,1,2,1,2,1,1,1,1,2,"vor einer Yoga- Einheit",1,"",1,1,2,1,1,1,1,"",1,1,3,4,3,3,1,2,2,2,3,1,3,2,4,3,"Die Fähigkeit des Menschens sich auf die Meditation einzulassen",5,5,13,9,103,146,271,NA,"16.11.2017 17:15",1,0,4,4,0,0,"1",5,0.39804067080503325
184,NA,"tn79n5","base","interview","deu","16.11.2017 17:44",43,1,18,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,5,3,2,1,1,3,3,2,1,1,2,4,4,"Ob sich mithilfe von Meditation Gefühle positiv beeinflussen lassen",5,5,15,9,NA,110,134,NA,"16.11.2017 17:46",1,0,3,4,0,0,"1.14",7,0.3731879494077985
185,NA,"5s5trf","base","interview","deu","17.11.2017 15:13",52,1,27,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,4,3,1,1,1,4,3,1,1,2,2,5,3,"Einfluss der Mediation auf das Wohlbefinden des Körpers (ggf. Stressreduktionsmaßnahmen)",4,4,17,10,NA,111,138,NA,"17.11.2017 15:16",1,0,3,4,0,0,"1.06",5,0.3790670109913491
186,NA,"z26hyp","base","interview","deu","23.11.2017 16:36",46,1,26,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,3,1,1,1,1,4,4,3,1,1,3,3,4,"Mediationseinfluß auf das Wohlbefinden",4,4,18,13,NA,169,200,NA,"23.11.2017 16:40",1,0,3,4,0,0,"0.83",0,0.3651844100257208
187,NA,"lxf65x","base","interview","deu","24.11.2017 14:42",44,1,45,1,NA,1,4,4,3,2,1,2,1,1,1,1,2,"Geführte Meditationen",1,"",1,2,2,2,1,1,1,"",2,3,4,4,4,4,1,1,1,1,1,2,4,1,3,2,"Der Effekt unterschiedlicher Meditationsformen und dessen Wahrnehmung",5,5,17,7,66,89,179,NA,"24.11.2017 14:45",1,0,4,4,0,0,"1.23",12,0.34651625337757425
188,NA,"pgwwbj","base","interview","deu","24.11.2017 15:13",48,1,22,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,5,4,3,1,1,1,2,2,1,1,1,1,5,3,"Wie sich Mediation bzw. Töne auf die Emotionen auswirken und kontrollieren lassen",4,5,16,10,NA,119,145,NA,"24.11.2017 15:15",1,0,3,4,0,0,"1.05",4,0.3399934261098397
189,NA,"yxvb89","base","interview","deu","27.11.2017 16:30",56,1,19,1,NA,1,2,3,3,2,1,2,1,1,1,1,2,"Yoga",1,"",1,1,2,1,1,1,1,"",1,2,4,3,3,1,1,1,3,3,1,1,1,3,5,2,"Auswirkungen von Meditation auf Gefühlsleben",5,5,29,8,56,123,216,NA,"27.11.2017 16:33",1,0,4,4,0,0,"1.03",6,0.3574047867365753
190,NA,"65206h","base","interview","deu","27.11.2017 17:11",54,1,20,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,2,"Ob man sich schnell nichtwissenschaftlicher Methoden zur Beruhigung vertrauen kann",2,1,18,13,NA,167,198,NA,"27.11.2017 17:14",1,0,3,4,0,0,"0.83",0,0.36942284397409797
191,NA,"9atetm","base","interview","deu","27.11.2017 17:44",36,2,40,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1,4,3,3,2,1,5,3,3,2,1,2,5,3,"Einfluss Meditation auf Emotionszustände, Konzentration ",5,5,23,13,NA,188,224,NA,"27.11.2017 17:48",1,0,3,4,0,0,"0.73",0,0.3304870488102507
193,NA,"zeowf8","base","interview","deu","28.11.2017 11:12",44,1,18,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,3,3,1,1,2,2,2,1,1,3,2,3,1,"Effekt von Meditation",3,3,24,10,NA,102,136,NA,"28.11.2017 11:14",1,0,3,4,0,0,"0.99",5,0.3151755539983195
194,NA,"5a392u","base","interview","deu","28.11.2017 11:42",52,1,19,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,3,3,2,1,2,2,1,1,2,3,1,4,3,"Welche Emotionen bei der Meditation hervorgerufen wurden",5,5,15,9,NA,137,161,NA,"28.11.2017 11:45",1,0,3,4,0,0,"1.06",3,0.31934795029364704
195,NA,"f8ttc7","base","interview","deu","28.11.2017 12:21",56,1,25,1,NA,1,4,4,2,2,1,2,1,1,1,1,1,"",1,"",2,2,2,1,1,1,2,"In der Natur",1,3,3,4,4,2,1,1,3,3,2,1,3,3,5,3,"Ob Meditationen Gefühle hervorrufen kann und diese Praktik nachhaltig das Leben beeinflussen / verändern kann",5,5,18,7,113,136,274,NA,"28.11.2017 12:25",1,0,4,4,0,0,"0.98",4,0.3345136486084959
196,NA,"3kf6dj","base","interview","deu","28.11.2017 14:08",53,1,28,1,NA,1,4,2,2,2,1,1,1,2,1,1,2,"weitere geführte M.",1,"",1,1,2,1,1,1,1,"",1,3,5,4,2,1,1,1,1,1,1,1,4,1,4,3,"Unterschieder in der Intensität von wahrgenommenen Gefühlen bei geleiteten vs. Klangmeditationen",5,5,48,8,79,92,197,NA,"28.11.2017 14:11",1,0,4,4,0,0,"0.97",7,0.34201382565993316
197,NA,"drcqty","base","interview","deu","28.11.2017 14:39",45,1,18,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,3,4,2,1,3,3,3,1,2,4,2,5,3,"Reaktion auf Geräusche",5,5,16,13,NA,151,180,NA,"28.11.2017 14:42",1,0,3,4,0,0,"0.9",2,0.3281908980679012
198,NA,"yq9r7l","base","interview","deu","28.11.2017 15:09",47,1,19,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,3,1,1,1,4,1,1,1,1,5,2,5,3,"",3,4,31,6,NA,61,98,NA,"28.11.2017 15:11",1,0,3,4,5,4,"1.43",28,0.3199684574752386
199,NA,"zkdyu2","base","interview","deu","30.11.2017 16:39",47,1,20,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,4,4,1,1,1,4,4,1,1,2,2,4,3,"Unterschied der Fähigkeit seine eigenen Emotionen wahrzunehmen bei Leuten mit und ohne Meditiererfahrung",4,4,23,9,NA,140,172,NA,"30.11.2017 16:41",1,0,3,4,0,0,"0.91",0,0.31207619166357004
200,NA,"t9gc4x","base","interview","deu","04.12.2017 16:40",52,2,21,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,4,4,1,1,1,4,4,1,1,2,2,5,3,"--",5,5,15,7,NA,121,143,NA,"04.12.2017 16:42",1,0,3,4,0,0,"1.2",10,0.316212082195092
201,NA,"97632r","base","interview","deu","04.12.2017 17:37",44,1,20,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,4,3,3,1,4,2,2,1,3,5,3,3,4,"Wie sich Personen unterscheiden beim Umgang mit Klangmediation je nachdem wie lange ihrere Meditationserfahrung ist",4,4,14,6,NA,133,153,NA,"04.12.2017 17:39",1,0,3,4,0,0,"1.27",13,0.3019934535879264
202,NA,"4f8n82","base","interview","deu","05.12.2017 10:32",57,1,19,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,3,4,1,2,2,3,2,2,2,3,4,2,1,"Wie sich angeleitete Meditation und Töne auf die Wahrnehmung von Gefühlen auswirken.",4,5,14,7,NA,147,168,NA,"05.12.2017 10:35",1,0,3,4,0,0,"1.16",10,0.3184216389489307
203,NA,"a7j4h3","base","interview","deu","05.12.2017 11:31",52,1,42,1,NA,1,3,3,3,3,1,2,2,1,1,1,2,"MBSR",1,"",1,2,2,2,1,1,1,"",2,4,3,3,2,1,1,1,3,2,1,1,1,2,4,4,"keine Ahnung",5,5,14,9,68,114,205,NA,"05.12.2017 11:34",1,0,4,4,0,0,"1.13",6,0.32270596482278996
204,NA,"cr2ocq","base","interview","deu","05.12.2017 13:37",53,2,20,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,3,4,1,1,4,3,4,2,1,4,4,2,3,"",4,3,12,6,NA,79,97,NA,"05.12.2017 13:38",1,0,3,4,5,4,"1.57",28,0.3297728981367735
205,NA,"v5soco","base","interview","deu","05.12.2017 15:07",42,1,18,1,NA,1,3,4,3,1,1,1,1,1,1,1,1,"",1,"",2,1,1,2,1,1,1,"",1,2,1,3,3,4,1,3,1,1,3,1,4,1,5,1,"",4,3,14,7,55,104,180,NA,"05.12.2017 15:10",1,0,4,4,4,3,"1.29",14,0.31018183399822147
206,NA,"g3jcj6","base","interview","deu","05.12.2017 15:47",50,1,42,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,3,4,1,1,2,3,3,1,1,2,3,5,2,"Auf welche Art von Meditation Menschen gut ansprechen/sich einlassen können.",5,5,20,12,NA,159,191,NA,"05.12.2017 15:50",1,0,3,4,0,0,"0.83",0,0.309476384150217
207,NA,"r2zy4h","base","interview","deu","07.12.2017 16:39",36,1,19,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,4,5,2,1,1,3,4,2,1,1,1,5,4,"Einfluss der Meditation auf Gefühlswahrnehmung",5,4,17,7,NA,92,116,NA,"07.12.2017 16:41",1,0,3,4,0,0,"1.27",13,0.281853782210604
208,NA,"yed4qb","base","interview","deu","07.12.2017 17:14",49,2,19,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,2,2,1,1,3,1,1,1,1,5,2,3,3,"",4,3,15,4,NA,75,94,NA,"07.12.2017 17:16",1,0,3,4,5,4,"1.75",37,0.279286012631863
209,NA,"ejb7nh","base","interview","deu","07.12.2017 17:43",49,1,20,1,NA,1,2,4,2,2,1,2,1,2,1,1,1,"",1,"",1,1,1,1,1,1,2,"Rehaanstalt",1,2,2,3,2,1,1,2,1,1,1,1,4,2,5,2,"Die Wirkung von Meditation auf die Emotionen",5,3,13,9,58,72,152,NA,"07.12.2017 17:46",1,0,4,4,0,0,"1.37",18,0.27675174873218467
210,NA,"r0zvs7","base","interview","deu","07.12.2017 18:16",44,2,37,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,4,3,1,1,1,3,2,1,1,1,4,5,4,"Beurteilung von Meditationsmethoden",5,4,20,11,NA,146,177,NA,"07.12.2017 18:19",1,0,3,4,0,0,"0.88",0,0.2657215123225786
211,NA,"jxfknw","base","interview","deu","11.12.2017 17:06",48,1,18,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,3,4,3,1,2,1,1,1,1,5,1,4,1,"Auswirkungen von Meditation auf den momentanen emotionalen Zustand",2,2,14,9,NA,155,178,NA,"11.12.2017 17:09",1,0,3,4,0,0,"1.05",5,0.26169297324062846
212,NA,"x6wrxk","base","interview","deu","12.12.2017 10:43",51,2,22,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,3,4,2,2,2,2,3,1,1,2,3,5,2,"den Effekt von Meditationsübungen auf den Affekt",4,5,18,17,NA,165,200,NA,"12.12.2017 10:47",1,0,3,4,0,0,"0.78",0,0.26281910323016827
213,NA,"gqtubb","base","interview","deu","14.12.2017 17:07",55,1,18,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,4,3,3,1,2,3,3,2,1,3,3,3,4,"Ob man dank Meditation einen positiven Einfluss in Bezug auf die eigene Gefühlslage und Entspanntheit spüren kann.",5,5,11,5,NA,204,220,NA,"14.12.2017 17:11",1,0,3,4,0,0,"1.37",24,0.27147242468824534
214,NA,"vo5yw9","base","interview","deu","14.12.2017 17:44",54,2,35,1,NA,1,4,4,3,2,1,2,1,2,1,1,1,"",1,"",1,2,2,2,1,1,1,"",1,2,3,4,4,2,1,1,4,3,1,2,1,2,5,4,"-Nachhaltigkeit eines meditativen Zustandes nach beenden der Meditation, auch unter Einfluß von Störgeräuschen.
od.
-Einfluss von Straßenlärm auf Stressempfinden.",4,4,13,20,90,332,455,NA,"14.12.2017 17:52",1,0,4,4,0,0,"0.76",5,0.27856719195225776
215,NA,"c97adl","base","interview","deu","18.12.2017 17:08",47,1,22,1,NA,1,4,3,3,3,1,2,1,1,1,1,2,"Shamatha",2,"Prajna Paramita",1,3,2,2,2,1,1,"",2,3,4,4,5,2,1,1,3,5,3,2,1,3,4,4,"Einfluss von Meditationserfahrung auf die Intensität der wahrgenommenen Gefühle",5,5,11,6,77,95,189,NA,"18.12.2017 17:11",1,0,4,4,0,0,"1.37",19,0.27243569930400624
216,NA,"4l470v","base","interview","deu","18.12.2017 17:39",53,1,29,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,4,3,1,1,2,3,3,1,1,2,2,4,4,"",5,4,14,7,NA,99,120,NA,"18.12.2017 17:41",1,0,3,4,5,4,"1.31",16,0.2775756425721762
218,NA,"d1rlro","base","interview","deu","16.04.2018 14:11",58,1,20,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,4,2,3,3,2,1,1,1,2,4,1,4,4,"Einwirkung von  Meditation auf Gefühle",4,3,12,10,NA,68,90,NA,"16.04.2018 14:13",1,0,3,4,0,0,"1.46",25,0.2938100022078934
219,NA,"jn0hau","base","interview","deu","16.04.2018 14:15",53,1,23,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,4,4,1,1,2,3,3,1,1,3,1,4,4,"Störgeräusche auf Meditation",5,3,8,3,NA,38,49,NA,"16.04.2018 14:16",1,0,3,4,0,0,"2.75",96,0.29967709004608983
220,NA,"1k9fh9","base","interview","deu","16.04.2018 14:16",52,1,18,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,4,3,2,1,3,3,2,3,1,3,2,4,4,"Medittion und Geräusche auf Emotion",4,4,8,4,NA,39,51,NA,"16.04.2018 14:17",1,0,3,4,0,0,"2.5",82,0.30347121159567914
